Age,Attrition,Department,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,YearsAtCompany,AgeGroup,SalaryLevel,YearsGroup,,,,,,,,
35.00,No,Research & Development,3.00,Single,6142.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
39.00,No,Sales,3.00,Married,8237.00,No,7.00,30-39,High,6+,,,,,,,,
29.00,No,Research & Development,4.00,Divorced,8853.00,No,6.00,20-29,High,6+,,,,,,,,
50.00,No,Sales,3.00,Married,19331.00,Yes,1.00,50+,High,0-2,,,,,,,,
23.00,No,Research & Development,3.00,Married,2073.00,No,2.00,20-29,Low,0-2,,,,,,,,
36.00,No,Research & Development,1.00,Married,5562.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
42.00,No,Research & Development,4.00,Single,19613.00,No,1.00,40-49,High,0-2,,,,,,,,
35.00,No,Research & Development,3.00,Married,3407.00,No,10.00,30-39,Medium,6+,,,,,,,,
34.00,No,Research & Development,3.00,Married,5063.00,No,8.00,30-39,Medium,6+,,,,,,,,
40.00,No,Sales,1.00,Married,4639.00,No,5.00,40-49,Medium,3-5,,,,,,,,
43.00,No,Research & Development,2.00,Divorced,4876.00,No,6.00,40-49,Medium,6+,,,,,,,,
35.00,No,Research & Development,4.00,Married,2690.00,No,1.00,30-39,Low,0-2,,,,,,,,
46.00,No,Sales,1.00,Single,17567.00,No,26.00,40-49,High,6+,,,,,,,,
28.00,Yes,Research & Development,2.00,Married,2408.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
22.00,No,Research & Development,3.00,Married,2814.00,Yes,4.00,20-29,Low,3-5,,,,,,,,
50.00,No,Research & Development,3.00,Married,11245.00,Yes,30.00,50+,High,6+,,,,,,,,
32.00,No,Research & Development,4.00,Married,3312.00,No,3.00,30-39,Medium,3-5,,,,,,,,
44.00,No,Research & Development,4.00,Divorced,19049.00,Yes,22.00,40-49,High,6+,,,,,,,,
30.00,No,Research & Development,2.00,Married,2141.00,No,6.00,30-39,Low,6+,,,,,,,,
45.00,No,Research & Development,1.00,Single,5769.00,Yes,10.00,40-49,Medium,6+,,,,,,,,
45.00,No,Sales,1.00,Married,4385.00,No,10.00,40-49,Medium,6+,,,,,,,,
31.00,No,Sales,1.00,Single,5332.00,No,5.00,30-39,Medium,3-5,,,,,,,,
36.00,No,Research & Development,3.00,Married,4663.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Divorced,4724.00,No,9.00,30-39,Medium,6+,,,,,,,,
49.00,No,Research & Development,1.00,Married,3211.00,No,9.00,40-49,Medium,6+,,,,,,,,
39.00,No,Research & Development,1.00,Married,5377.00,No,7.00,30-39,Medium,6+,,,,,,,,
27.00,No,Research & Development,1.00,Divorced,4066.00,No,7.00,20-29,Medium,6+,,,,,,,,
35.00,No,Research & Development,1.00,Married,5208.00,No,16.00,30-39,Medium,6+,,,,,,,,
28.00,No,Research & Development,1.00,Divorced,4877.00,No,5.00,20-29,Medium,3-5,,,,,,,,
21.00,No,Research & Development,4.00,Single,3117.00,No,2.00,20-29,Medium,0-2,,,,,,,,
18.00,Yes,Sales,4.00,Single,1569.00,Yes,0.00,20-29,Low,0-2,,,,,,,,
47.00,No,Human Resources,3.00,Married,19658.00,No,5.00,40-49,High,3-5,,,,,,,,
39.00,No,Research & Development,3.00,Divorced,3069.00,No,10.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,3.00,Married,10435.00,No,18.00,40-49,High,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,4148.00,No,14.00,30-39,Medium,6+,,,,,,,,
37.00,No,Research & Development,3.00,Married,5768.00,No,4.00,30-39,Medium,3-5,,,,,,,,
39.00,No,Research & Development,3.00,Single,5042.00,No,9.00,30-39,Medium,6+,,,,,,,,
45.00,No,Research & Development,4.00,Divorced,5770.00,No,10.00,40-49,Medium,6+,,,,,,,,
38.00,No,Research & Development,3.00,Married,7756.00,Yes,5.00,30-39,High,3-5,,,,,,,,
35.00,Yes,Sales,1.00,Married,10306.00,No,13.00,30-39,High,6+,,,,,,,,
37.00,No,Research & Development,2.00,Married,3936.00,No,8.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,4.00,Single,7945.00,Yes,4.00,40-49,High,3-5,,,,,,,,
44.00,No,Human Resources,4.00,Married,5743.00,Yes,10.00,40-49,Medium,6+,,,,,,,,
48.00,No,Research & Development,4.00,Married,15202.00,No,2.00,40-49,High,0-2,,,,,,,,
35.00,Yes,Sales,4.00,Divorced,5440.00,Yes,2.00,30-39,Medium,0-2,,,,,,,,
24.00,No,Research & Development,4.00,Single,3760.00,Yes,6.00,20-29,Medium,6+,,,,,,,,
27.00,No,Research & Development,3.00,Married,3517.00,No,3.00,20-29,Medium,3-5,,,,,,,,
27.00,No,Research & Development,4.00,Single,2580.00,No,4.00,20-29,Low,3-5,,,,,,,,
40.00,Yes,Research & Development,1.00,Single,2166.00,Yes,4.00,40-49,Low,3-5,,,,,,,,
29.00,No,Sales,3.00,Single,5869.00,No,5.00,20-29,Medium,3-5,,,,,,,,
36.00,No,Research & Development,1.00,Married,8008.00,No,3.00,30-39,High,3-5,,,,,,,,
25.00,No,Research & Development,3.00,Divorced,5206.00,No,7.00,20-29,Medium,6+,,,,,,,,
39.00,No,Research & Development,2.00,Married,5295.00,No,5.00,30-39,Medium,3-5,,,,,,,,
49.00,No,Research & Development,2.00,Married,16413.00,No,4.00,40-49,High,3-5,,,,,,,,
50.00,No,Research & Development,1.00,Divorced,13269.00,No,14.00,50+,High,6+,,,,,,,,
20.00,No,Sales,3.00,Single,2783.00,No,2.00,20-29,Low,0-2,,,,,,,,
34.00,No,Research & Development,2.00,Divorced,5433.00,No,11.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,2.00,Single,2013.00,No,4.00,30-39,Low,3-5,,,,,,,,
49.00,No,Research & Development,3.00,Married,13966.00,Yes,15.00,40-49,High,6+,,,,,,,,
36.00,No,Research & Development,3.00,Married,4374.00,No,3.00,30-39,Medium,3-5,,,,,,,,
36.00,No,Research & Development,1.00,Divorced,6842.00,No,5.00,30-39,Medium,3-5,,,,,,,,
54.00,No,Research & Development,3.00,Married,17426.00,No,10.00,50+,High,6+,,,,,,,,
43.00,No,Research & Development,3.00,Married,17603.00,No,14.00,40-49,High,6+,,,,,,,,
35.00,Yes,Sales,4.00,Single,4581.00,Yes,11.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,4.00,Married,4735.00,No,13.00,30-39,Medium,6+,,,,,,,,
29.00,No,Sales,2.00,Divorced,4187.00,Yes,10.00,20-29,Medium,6+,,,,,,,,
33.00,No,Sales,4.00,Divorced,5505.00,No,6.00,30-39,Medium,6+,,,,,,,,
32.00,No,Research & Development,2.00,Divorced,5470.00,No,9.00,30-39,Medium,6+,,,,,,,,
31.00,No,Sales,4.00,Married,5476.00,No,10.00,30-39,Medium,6+,,,,,,,,
49.00,No,Research & Development,1.00,Divorced,2587.00,Yes,2.00,40-49,Low,0-2,,,,,,,,
38.00,No,Research & Development,2.00,Single,2440.00,No,4.00,30-39,Low,3-5,,,,,,,,
47.00,No,Sales,2.00,Divorced,15972.00,No,3.00,40-49,High,3-5,,,,,,,,
49.00,No,Research & Development,3.00,Single,15379.00,No,8.00,40-49,High,6+,,,,,,,,
41.00,No,Sales,3.00,Single,7082.00,Yes,2.00,40-49,High,0-2,,,,,,,,
20.00,No,Sales,1.00,Single,2728.00,No,2.00,20-29,Low,0-2,,,,,,,,
33.00,No,Sales,4.00,Divorced,5368.00,Yes,6.00,30-39,Medium,6+,,,,,,,,
36.00,No,Research & Development,3.00,Married,5347.00,No,3.00,30-39,Medium,3-5,,,,,,,,
44.00,No,Human Resources,4.00,Divorced,3195.00,Yes,2.00,40-49,Medium,0-2,,,,,,,,
23.00,Yes,Research & Development,3.00,Single,3989.00,Yes,5.00,20-29,Medium,3-5,,,,,,,,
38.00,No,Research & Development,3.00,Married,3306.00,No,0.00,30-39,Medium,0-2,,,,,,,,
53.00,No,Research & Development,4.00,Married,7005.00,No,4.00,50+,High,3-5,,,,,,,,
48.00,Yes,Sales,3.00,Married,2655.00,Yes,9.00,40-49,Low,6+,,,,,,,,
32.00,Yes,Research & Development,2.00,Single,1393.00,No,1.00,30-39,Low,0-2,,,,,,,,
26.00,No,Research & Development,4.00,Single,2570.00,No,7.00,20-29,Low,6+,,,,,,,,
55.00,No,Research & Development,2.00,Divorced,3537.00,No,4.00,50+,Medium,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Married,3986.00,No,15.00,30-39,Medium,6+,,,,,,,,
60.00,No,Research & Development,4.00,Divorced,10883.00,No,1.00,50+,High,0-2,,,,,,,,
33.00,No,Research & Development,2.00,Married,2028.00,No,14.00,30-39,Low,6+,,,,,,,,
37.00,No,Sales,4.00,Divorced,9525.00,No,6.00,30-39,High,6+,,,,,,,,
34.00,No,Research & Development,4.00,Married,2929.00,No,10.00,30-39,Low,6+,,,,,,,,
23.00,Yes,Sales,4.00,Divorced,2275.00,Yes,3.00,20-29,Low,3-5,,,,,,,,
44.00,No,Research & Development,4.00,Married,7879.00,Yes,8.00,40-49,High,6+,,,,,,,,
35.00,No,Research & Development,4.00,Single,4930.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
43.00,No,Sales,4.00,Married,7847.00,Yes,10.00,40-49,High,6+,,,,,,,,
24.00,No,Research & Development,3.00,Married,4401.00,No,5.00,20-29,Medium,3-5,,,,,,,,
41.00,No,Sales,3.00,Single,9241.00,No,10.00,40-49,High,6+,,,,,,,,
29.00,No,Research & Development,3.00,Married,2974.00,No,5.00,20-29,Low,3-5,,,,,,,,
36.00,No,Sales,4.00,Single,4502.00,No,13.00,30-39,Medium,6+,,,,,,,,
45.00,No,Research & Development,3.00,Married,10748.00,No,23.00,40-49,High,6+,,,,,,,,
24.00,Yes,Human Resources,3.00,Married,1555.00,No,1.00,20-29,Low,0-2,,,,,,,,
47.00,Yes,Sales,3.00,Married,12936.00,No,23.00,40-49,High,6+,,,,,,,,
26.00,No,Research & Development,3.00,Married,2305.00,No,3.00,20-29,Low,3-5,,,,,,,,
45.00,No,Research & Development,2.00,Single,16704.00,No,21.00,40-49,High,6+,,,,,,,,
32.00,No,Research & Development,3.00,Married,3433.00,No,5.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Research & Development,3.00,Married,3477.00,No,5.00,30-39,Medium,3-5,,,,,,,,
41.00,No,Human Resources,2.00,Married,6430.00,No,3.00,40-49,Medium,3-5,,,,,,,,
40.00,No,Research & Development,1.00,Married,6516.00,Yes,1.00,40-49,Medium,0-2,,,,,,,,
24.00,No,Research & Development,1.00,Divorced,3907.00,No,6.00,20-29,Medium,6+,,,,,,,,
46.00,No,Research & Development,2.00,Single,5562.00,No,10.00,40-49,Medium,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,6883.00,No,7.00,30-39,Medium,6+,,,,,,,,
30.00,No,Research & Development,4.00,Married,2862.00,No,10.00,30-39,Low,6+,,,,,,,,
47.00,No,Sales,2.00,Married,4978.00,No,1.00,40-49,Medium,0-2,,,,,,,,
46.00,No,Sales,4.00,Divorced,10368.00,Yes,10.00,40-49,High,6+,,,,,,,,
36.00,Yes,Sales,1.00,Divorced,6134.00,Yes,2.00,30-39,Medium,0-2,,,,,,,,
32.00,Yes,Sales,2.00,Single,6735.00,No,0.00,30-39,Medium,0-2,,,,,,,,
23.00,No,Research & Development,2.00,Single,3295.00,No,3.00,20-29,Medium,3-5,,,,,,,,
31.00,No,Research & Development,4.00,Single,5238.00,No,5.00,30-39,Medium,3-5,,,,,,,,
39.00,No,Research & Development,4.00,Married,6472.00,Yes,9.00,30-39,Medium,6+,,,,,,,,
32.00,No,Sales,3.00,Married,9610.00,No,4.00,30-39,High,3-5,,,,,,,,
40.00,No,Sales,2.00,Single,19833.00,No,21.00,40-49,High,6+,,,,,,,,
45.00,No,Human Resources,3.00,Married,9756.00,No,5.00,40-49,High,3-5,,,,,,,,
30.00,No,Research & Development,1.00,Single,4968.00,No,9.00,30-39,Medium,6+,,,,,,,,
24.00,No,Human Resources,4.00,Married,2145.00,No,2.00,20-29,Low,0-2,,,,,,,,
30.00,Yes,Human Resources,4.00,Divorced,2180.00,No,4.00,30-39,Low,3-5,,,,,,,,
31.00,No,Sales,3.00,Married,8346.00,No,5.00,30-39,High,3-5,,,,,,,,
27.00,No,Research & Development,4.00,Single,3445.00,No,6.00,20-29,Medium,6+,,,,,,,,
29.00,Yes,Sales,2.00,Single,2760.00,No,2.00,20-29,Low,0-2,,,,,,,,
29.00,No,Research & Development,3.00,Single,6294.00,Yes,3.00,20-29,Medium,3-5,,,,,,,,
30.00,No,Sales,1.00,Divorced,7140.00,No,7.00,30-39,High,6+,,,,,,,,
34.00,No,Research & Development,4.00,Married,2932.00,Yes,5.00,30-39,Low,3-5,,,,,,,,
33.00,No,Sales,2.00,Single,5147.00,No,11.00,30-39,Medium,6+,,,,,,,,
49.00,No,Sales,4.00,Single,4507.00,No,5.00,40-49,Medium,3-5,,,,,,,,
33.00,Yes,Sales,1.00,Single,8564.00,Yes,0.00,30-39,High,0-2,,,,,,,,
38.00,No,Research & Development,2.00,Married,2468.00,No,6.00,30-39,Low,6+,,,,,,,,
31.00,Yes,Sales,3.00,Married,8161.00,No,1.00,30-39,High,0-2,,,,,,,,
29.00,No,Research & Development,1.00,Divorced,2109.00,No,1.00,20-29,Low,0-2,,,,,,,,
30.00,No,Research & Development,3.00,Married,5294.00,No,7.00,30-39,Medium,6+,,,,,,,,
32.00,No,Research & Development,2.00,Single,2718.00,No,7.00,30-39,Low,6+,,,,,,,,
38.00,No,Research & Development,4.00,Married,5811.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
43.00,Yes,Research & Development,3.00,Married,2437.00,Yes,1.00,40-49,Low,0-2,,,,,,,,
42.00,No,Research & Development,2.00,Divorced,2766.00,No,5.00,40-49,Low,3-5,,,,,,,,
55.00,No,Research & Development,1.00,Married,19038.00,No,1.00,50+,High,0-2,,,,,,,,
33.00,No,Research & Development,2.00,Divorced,3055.00,No,9.00,30-39,Medium,6+,,,,,,,,
41.00,No,Research & Development,1.00,Divorced,2289.00,No,5.00,40-49,Low,3-5,,,,,,,,
34.00,No,Sales,3.00,Divorced,4001.00,Yes,15.00,30-39,Medium,6+,,,,,,,,
53.00,No,Research & Development,3.00,Married,12965.00,Yes,3.00,50+,High,3-5,,,,,,,,
43.00,No,Human Resources,4.00,Single,3539.00,No,9.00,40-49,Medium,6+,,,,,,,,
34.00,No,Sales,4.00,Single,6029.00,No,2.00,30-39,Medium,0-2,,,,,,,,
21.00,Yes,Sales,2.00,Single,2679.00,No,1.00,20-29,Low,0-2,,,,,,,,
38.00,No,Research & Development,3.00,Married,3702.00,No,5.00,30-39,Medium,3-5,,,,,,,,
22.00,Yes,Research & Development,1.00,Married,2398.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
31.00,No,Sales,4.00,Married,5468.00,No,12.00,30-39,Medium,6+,,,,,,,,
51.00,No,Research & Development,3.00,Married,13116.00,No,2.00,50+,High,0-2,,,,,,,,
37.00,No,Sales,2.00,Married,4189.00,No,5.00,30-39,Medium,3-5,,,,,,,,
46.00,No,Research & Development,4.00,Divorced,19328.00,Yes,2.00,40-49,High,0-2,,,,,,,,
36.00,No,Research & Development,1.00,Married,8321.00,Yes,12.00,30-39,High,6+,,,,,,,,
44.00,Yes,Research & Development,2.00,Divorced,2342.00,Yes,5.00,40-49,Low,3-5,,,,,,,,
37.00,No,Human Resources,2.00,Divorced,4071.00,No,10.00,30-39,Medium,6+,,,,,,,,
35.00,Yes,Sales,4.00,Single,5813.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
33.00,No,Research & Development,1.00,Married,3143.00,No,10.00,30-39,Medium,6+,,,,,,,,
28.00,No,Research & Development,4.00,Married,2044.00,No,5.00,20-29,Low,3-5,,,,,,,,
39.00,No,Research & Development,3.00,Single,13464.00,No,4.00,30-39,High,3-5,,,,,,,,
46.00,No,Sales,2.00,Single,7991.00,No,2.00,40-49,High,0-2,,,,,,,,
40.00,No,Research & Development,1.00,Married,3377.00,No,4.00,40-49,Medium,3-5,,,,,,,,
42.00,No,Research & Development,1.00,Married,5538.00,No,0.00,40-49,Medium,0-2,,,,,,,,
35.00,No,Research & Development,4.00,Divorced,5762.00,No,7.00,30-39,Medium,6+,,,,,,,,
38.00,No,Human Resources,2.00,Divorced,2592.00,No,11.00,30-39,Low,6+,,,,,,,,
34.00,Yes,Research & Development,1.00,Married,5346.00,No,7.00,30-39,Medium,6+,,,,,,,,
37.00,Yes,Research & Development,1.00,Single,4213.00,No,10.00,30-39,Medium,6+,,,,,,,,
39.00,No,Sales,4.00,Divorced,4127.00,No,2.00,30-39,Medium,0-2,,,,,,,,
43.00,No,Research & Development,3.00,Single,2438.00,No,3.00,40-49,Low,3-5,,,,,,,,
41.00,No,Research & Development,2.00,Single,6870.00,No,3.00,40-49,Medium,3-5,,,,,,,,
41.00,No,Sales,3.00,Divorced,10447.00,Yes,22.00,40-49,High,6+,,,,,,,,
30.00,No,Research & Development,3.00,Single,9667.00,No,7.00,30-39,High,6+,,,,,,,,
26.00,Yes,Human Resources,2.00,Married,2148.00,Yes,5.00,20-29,Low,3-5,,,,,,,,
46.00,Yes,Research & Development,2.00,Married,8926.00,No,9.00,40-49,High,6+,,,,,,,,
40.00,No,Research & Development,4.00,Divorced,6513.00,No,5.00,40-49,Medium,3-5,,,,,,,,
34.00,No,Sales,3.00,Married,6799.00,No,10.00,30-39,Medium,6+,,,,,,,,
58.00,No,Sales,2.00,Divorced,16291.00,No,16.00,50+,High,6+,,,,,,,,
35.00,No,Research & Development,3.00,Married,2705.00,No,5.00,30-39,Low,3-5,,,,,,,,
47.00,No,Research & Development,2.00,Divorced,10333.00,Yes,22.00,40-49,High,6+,,,,,,,,
40.00,No,Research & Development,1.00,Divorced,4448.00,No,7.00,40-49,Medium,6+,,,,,,,,
54.00,No,Research & Development,4.00,Married,6854.00,No,7.00,50+,Medium,6+,,,,,,,,
31.00,No,Sales,1.00,Married,9637.00,No,3.00,30-39,High,3-5,,,,,,,,
28.00,No,Research & Development,1.00,Married,3591.00,No,3.00,20-29,Medium,3-5,,,,,,,,
38.00,No,Sales,4.00,Married,5405.00,Yes,4.00,30-39,Medium,3-5,,,,,,,,
26.00,No,Sales,4.00,Single,4684.00,No,5.00,20-29,Medium,3-5,,,,,,,,
58.00,No,Research & Development,3.00,Married,15787.00,Yes,2.00,50+,High,0-2,,,,,,,,
18.00,No,Research & Development,3.00,Single,1514.00,No,0.00,20-29,Low,0-2,,,,,,,,
31.00,Yes,Human Resources,1.00,Married,2956.00,No,1.00,30-39,Low,0-2,,,,,,,,
29.00,Yes,Human Resources,1.00,Divorced,2335.00,Yes,2.00,20-29,Low,0-2,,,,,,,,
45.00,No,Sales,3.00,Married,5154.00,No,8.00,40-49,Medium,6+,,,,,,,,
36.00,No,Research & Development,2.00,Married,6962.00,Yes,1.00,30-39,Medium,0-2,,,,,,,,
43.00,No,Sales,4.00,Married,5675.00,No,7.00,40-49,Medium,6+,,,,,,,,
27.00,No,Research & Development,4.00,Single,2379.00,Yes,5.00,20-29,Low,3-5,,,,,,,,
29.00,No,Research & Development,4.00,Married,3812.00,No,11.00,20-29,Medium,6+,,,,,,,,
32.00,No,Sales,4.00,Single,4648.00,No,0.00,30-39,Medium,0-2,,,,,,,,
42.00,No,Research & Development,3.00,Married,2936.00,No,6.00,40-49,Low,6+,,,,,,,,
47.00,No,Research & Development,3.00,Single,2105.00,No,2.00,40-49,Low,0-2,,,,,,,,
46.00,No,Research & Development,4.00,Divorced,8578.00,No,9.00,40-49,High,6+,,,,,,,,
28.00,No,Human Resources,4.00,Divorced,2706.00,No,3.00,20-29,Low,3-5,,,,,,,,
29.00,No,Research & Development,3.00,Divorced,6384.00,No,7.00,20-29,Medium,6+,,,,,,,,
42.00,No,Research & Development,3.00,Single,3968.00,No,0.00,40-49,Medium,0-2,,,,,,,,
32.00,Yes,Sales,2.00,Single,9907.00,Yes,2.00,30-39,High,0-2,,,,,,,,
46.00,No,Sales,1.00,Divorced,13225.00,No,19.00,40-49,High,6+,,,,,,,,
27.00,No,Sales,3.00,Married,3540.00,No,9.00,20-29,Medium,6+,,,,,,,,
29.00,No,Human Resources,2.00,Married,2804.00,No,1.00,20-29,Low,0-2,,,,,,,,
43.00,No,Research & Development,3.00,Married,19392.00,No,16.00,40-49,High,6+,,,,,,,,
48.00,No,Research & Development,2.00,Married,19665.00,No,22.00,40-49,High,6+,,,,,,,,
29.00,Yes,Research & Development,4.00,Single,2439.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
46.00,Yes,Sales,2.00,Married,7314.00,No,8.00,40-49,High,6+,,,,,,,,
27.00,No,Research & Development,1.00,Married,4774.00,No,7.00,20-29,Medium,6+,,,,,,,,
39.00,No,Research & Development,4.00,Divorced,3902.00,No,2.00,30-39,Medium,0-2,,,,,,,,
55.00,No,Research & Development,4.00,Married,2662.00,No,5.00,50+,Low,3-5,,,,,,,,
28.00,No,Sales,2.00,Married,2856.00,No,1.00,20-29,Low,0-2,,,,,,,,
30.00,Yes,Sales,4.00,Single,1081.00,No,1.00,30-39,Low,0-2,,,,,,,,
22.00,Yes,Research & Development,2.00,Single,2472.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
36.00,No,Sales,3.00,Married,5673.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
31.00,No,Research & Development,3.00,Divorced,4197.00,No,10.00,30-39,Medium,6+,,,,,,,,
34.00,No,Sales,4.00,Married,9713.00,Yes,5.00,30-39,High,3-5,,,,,,,,
29.00,No,Research & Development,1.00,Single,2062.00,No,3.00,20-29,Low,3-5,,,,,,,,
37.00,No,Research & Development,1.00,Married,4284.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
35.00,No,Research & Development,2.00,Married,4788.00,Yes,3.00,30-39,Medium,3-5,,,,,,,,
45.00,No,Research & Development,4.00,Married,5906.00,No,9.00,40-49,Medium,6+,,,,,,,,
36.00,No,Human Resources,4.00,Single,3886.00,No,10.00,30-39,Medium,6+,,,,,,,,
40.00,No,Research & Development,1.00,Divorced,16823.00,No,19.00,40-49,High,6+,,,,,,,,
26.00,No,Research & Development,3.00,Married,2933.00,Yes,1.00,20-29,Low,0-2,,,,,,,,
27.00,No,Sales,3.00,Single,6500.00,No,8.00,20-29,Medium,6+,,,,,,,,
48.00,No,Research & Development,4.00,Divorced,17174.00,No,22.00,40-49,High,6+,,,,,,,,
44.00,No,Research & Development,1.00,Married,5033.00,No,2.00,40-49,Medium,0-2,,,,,,,,
34.00,Yes,Research & Development,1.00,Married,2307.00,Yes,5.00,30-39,Low,3-5,,,,,,,,
56.00,Yes,Research & Development,4.00,Single,2587.00,No,4.00,50+,Low,3-5,,,,,,,,
36.00,No,Sales,2.00,Married,5507.00,No,4.00,30-39,Medium,3-5,,,,,,,,
41.00,No,Sales,2.00,Married,4393.00,No,5.00,40-49,Medium,3-5,,,,,,,,
42.00,No,Research & Development,1.00,Married,13348.00,No,13.00,40-49,High,6+,,,,,,,,
31.00,No,Sales,4.00,Divorced,6583.00,Yes,5.00,30-39,Medium,3-5,,,,,,,,
34.00,No,Sales,4.00,Married,8103.00,Yes,4.00,30-39,High,3-5,,,,,,,,
31.00,No,Research & Development,3.00,Divorced,3978.00,No,2.00,30-39,Medium,0-2,,,,,,,,
26.00,No,Research & Development,4.00,Married,2544.00,No,7.00,20-29,Low,6+,,,,,,,,
45.00,No,Research & Development,3.00,Single,5399.00,No,4.00,40-49,Medium,3-5,,,,,,,,
33.00,No,Sales,3.00,Single,5487.00,No,10.00,30-39,Medium,6+,,,,,,,,
28.00,No,Sales,4.00,Married,6834.00,Yes,7.00,20-29,Medium,6+,,,,,,,,
29.00,Yes,Sales,1.00,Single,1091.00,No,1.00,20-29,Low,0-2,,,,,,,,
39.00,No,Sales,3.00,Married,5736.00,No,3.00,30-39,Medium,3-5,,,,,,,,
27.00,No,Research & Development,2.00,Married,2226.00,No,5.00,20-29,Low,3-5,,,,,,,,
34.00,No,Research & Development,4.00,Married,5747.00,Yes,15.00,30-39,Medium,6+,,,,,,,,
28.00,Yes,Sales,3.00,Single,9854.00,Yes,2.00,20-29,High,0-2,,,,,,,,
47.00,No,Research & Development,2.00,Married,5467.00,No,8.00,40-49,Medium,6+,,,,,,,,
56.00,No,Sales,1.00,Married,5380.00,No,0.00,50+,Medium,0-2,,,,,,,,
39.00,No,Research & Development,1.00,Married,5151.00,No,10.00,30-39,Medium,6+,,,,,,,,
38.00,No,Research & Development,2.00,Divorced,2133.00,Yes,20.00,30-39,Low,6+,,,,,,,,
58.00,No,Sales,4.00,Married,17875.00,Yes,1.00,50+,High,0-2,,,,,,,,
32.00,Yes,Research & Development,3.00,Single,2432.00,Yes,4.00,30-39,Low,3-5,,,,,,,,
38.00,No,Research & Development,4.00,Divorced,4771.00,No,5.00,30-39,Medium,3-5,,,,,,,,
49.00,No,Research & Development,4.00,Married,19161.00,No,5.00,40-49,High,3-5,,,,,,,,
42.00,No,Sales,4.00,Divorced,5087.00,Yes,0.00,40-49,Medium,0-2,,,,,,,,
27.00,Yes,Human Resources,2.00,Married,2863.00,No,1.00,20-29,Low,0-2,,,,,,,,
35.00,No,Sales,1.00,Married,5561.00,No,5.00,30-39,Medium,3-5,,,,,,,,
28.00,No,Research & Development,3.00,Single,2144.00,No,5.00,20-29,Low,3-5,,,,,,,,
31.00,No,Research & Development,1.00,Divorced,3065.00,Yes,4.00,30-39,Medium,3-5,,,,,,,,
36.00,No,Research & Development,2.00,Married,2810.00,No,5.00,30-39,Low,3-5,,,,,,,,
34.00,No,Sales,4.00,Single,9888.00,No,14.00,30-39,High,6+,,,,,,,,
34.00,No,Sales,3.00,Divorced,8628.00,No,8.00,30-39,High,6+,,,,,,,,
26.00,No,Research & Development,1.00,Single,2867.00,No,7.00,20-29,Low,6+,,,,,,,,
29.00,No,Research & Development,1.00,Married,5373.00,No,5.00,20-29,Medium,3-5,,,,,,,,
32.00,No,Research & Development,4.00,Divorced,6667.00,No,5.00,30-39,Medium,3-5,,,,,,,,
31.00,No,Research & Development,1.00,Married,5003.00,No,10.00,30-39,Medium,6+,,,,,,,,
28.00,Yes,Research & Development,4.00,Divorced,2367.00,No,4.00,20-29,Low,3-5,,,,,,,,
38.00,No,Sales,1.00,Single,2858.00,No,1.00,30-39,Low,0-2,,,,,,,,
35.00,No,Sales,4.00,Married,5204.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
27.00,No,Sales,4.00,Single,4105.00,No,7.00,20-29,Medium,6+,,,,,,,,
32.00,No,Research & Development,4.00,Single,9679.00,No,1.00,30-39,High,0-2,,,,,,,,
31.00,Yes,Sales,4.00,Married,5617.00,Yes,10.00,30-39,Medium,6+,,,,,,,,
53.00,Yes,Sales,1.00,Single,10448.00,Yes,2.00,50+,High,0-2,,,,,,,,
54.00,No,Research & Development,3.00,Married,2897.00,No,4.00,50+,Low,3-5,,,,,,,,
33.00,No,Research & Development,3.00,Divorced,5968.00,No,9.00,30-39,Medium,6+,,,,,,,,
43.00,No,Research & Development,3.00,Married,7510.00,No,10.00,40-49,High,6+,,,,,,,,
38.00,No,Human Resources,2.00,Married,2991.00,Yes,6.00,30-39,Low,6+,,,,,,,,
55.00,No,Human Resources,2.00,Married,19636.00,Yes,10.00,50+,High,6+,,,,,,,,
31.00,No,Research & Development,4.00,Divorced,1129.00,Yes,1.00,30-39,Low,0-2,,,,,,,,
39.00,No,Sales,1.00,Single,13341.00,No,20.00,30-39,High,6+,,,,,,,,
